Kratica;Predmet;Skupaj
CON;Projekt Cona;CON-Projekt Cona
EKP;Ekonomika podjetij-predavanja;EKP-Ekonomika podjetij-predavanja
EKP;Ekonomika podjetij-sem vaje;EKP-Ekonomika podjetij-sem vaje
EKP;Ekonomika podjetij-sem vaje;EKP-Ekonomika podjetij-sem vaje
EKP;Ekonomika podjetij-vaje;EKP-Ekonomika podjetij-vaje
ELP;Elektronsko poslovanje-predavanja;ELP-Elektronsko poslovanje-predavanja
ELP;Elektronsko poslovanje-vaje;ELP-Elektronsko poslovanje-vaje
EMP;Ekonomika in menedžment podjetij-sem vaje;EMP-Ekonomika in menedžment podjetij-sem vaje
EMP;Ekonomika in menedžment podjetij-vaje;EMP-Ekonomika in menedžment podjetij-vaje
EPH;Ekološka prideva hrane-predavanja;EPH-Ekološka prideva hrane-predavanja
EPH;Ekološka prideva hrane-vaje;EPH-Ekološka prideva hrane-vaje
GPV;Gospodarjenje v poljedelstvu in vrtnarstvu - predavanja;GPV-Gospodarjenje v poljedelstvu in vrtnarstvu - predavanja
GPV;Gospodarjenje v poljedelstvu in vrtnarstvu - sem vaje;GPV-Gospodarjenje v poljedelstvu in vrtnarstvu - sem vaje
GPV;Gospodarjenje v poljedelstvu in vrtnarstvu - vaje;GPV-Gospodarjenje v poljedelstvu in vrtnarstvu - vaje
GSV;Gospodarjenje v sadjarstvu in vinogradništvu- predavanja;GSV-Gospodarjenje v sadjarstvu in vinogradništvu- predavanja
GSV;Gospodarjenje v sadjarstvu in vinogradništvu - sem vaje;GSV-Gospodarjenje v sadjarstvu in vinogradništvu - sem vaje
GSV;Gospodarjenje v sadjarstvu in vinogradništvu - vaje;GSV-Gospodarjenje v sadjarstvu in vinogradništvu - vaje
GŽI;Gospodarjenje v živinoreji-predavanja;GŽI-Gospodarjenje v živinoreji-predavanja
GŽI;Gospodarjenje v živinoreji-sem vaje;GŽI-Gospodarjenje v živinoreji-sem vaje
GŽI;Gospodarjenje v živinoreji-vaje;GŽI-Gospodarjenje v živinoreji-vaje
INS;Informacijski sistemi-predavanja;INS-Informacijski sistemi-predavanja
INS;Informacijski sistemi-vaje;INS-Informacijski sistemi-vaje
ISS;Izdelava spletnih strani-predavanja;ISS-Izdelava spletnih strani-predavanja
ISS;Izdelava spletnih strani-vaje;ISS-Izdelava spletnih strani-vaje
KTS;Komunikacijske tehnologije in storitve-predavanja;KTS-Komunikacijske tehnologije in storitve-predavanja
KTS;Komunikacijske tehnologije in storitve-vaje;KTS-Komunikacijske tehnologije in storitve-vaje
LIF;Laboranstvo Informatika;LIF-Laboranstvo Informatika
LIM;Laborantstvo Mehatronika;LIM-Laborantstvo Mehatronika
LMK;Logistika in mehanizacija v kmetijstvu-predavanja;LMK-Logistika in mehanizacija v kmetijstvu-predavanja
LMK;Logistika in mehanizacija v kmetijstvu-vaje;LMK-Logistika in mehanizacija v kmetijstvu-vaje
MRT;Meritve-predavanja;MRT-Meritve-predavanja
MRT;Meritve-vaje;MRT-Meritve-vaje
MUL;PIP- Multimediji-predavanja;MUL-PIP- Multimediji-predavanja
MUL;PIP- Multimediji-vaje;MUL-PIP- Multimediji-vaje
OET;Osnove elektrotehnike-predavanja;OET-Osnove elektrotehnike-predavanja
OET;Osnove elektrotehnike-vaje;OET-Osnove elektrotehnike-vaje
OIP;Organizacija in poslovanje-predavanja;OIP-Organizacija in poslovanje-predavanja
OIP;Organizacija in poslovanje-sem vaje;OIP-Organizacija in poslovanje-sem vaje
OIP;Organizacija in poslovanje-vaje;OIP-Organizacija in poslovanje-vaje
OPS1;Operacijski sistemi I-predavanja;OPS1-Operacijski sistemi I-predavanja
OPS1;Operacijski sistemi I-vaje;OPS1-Operacijski sistemi I-vaje
OPS2;Operacijski sistemi II-predavanja;OPS2-Operacijski sistemi II-predavanja
OPS2;Operacijski sistemi II-vaje;OPS2-Operacijski sistemi II-vaje
ORS;Osnove zgradbe in delovanja računalniških sistemov-vaje;ORS-Osnove zgradbe in delovanja računalniških sistemov-vaje
ORS;Osnove zgradbe in delovanja računalniških sistemo-predavanja;ORS-Osnove zgradbe in delovanja računalniških sistemo-predavanja
OST;Osnove strojništva-predavanja;OST-Osnove strojništva-predavanja
OST;Osnove strojništva-vaje;OST-Osnove strojništva-vaje
PIM;Pogoni in mehanizmi - predavanja;PIM-Pogoni in mehanizmi - predavanja
PIM;Pogoni in mehanizmi - vaje;PIM-Pogoni in mehanizmi - vaje
PIT;Podjetništvo in trženje-predavanja;PIT-Podjetništvo in trženje-predavanja
PIT;Podjetništvo in trženje-sem vaje;PIT-Podjetništvo in trženje-sem vaje
PIT;Podjetništvo in trženje-vaje;PIT-Podjetništvo in trženje-vaje
PKV;Poslovno komuniciranje in vodenje -predavanja;PKV-Poslovno komuniciranje in vodenje -predavanja
PKV;Poslovno komuniciranje in vodenje-sem vaje;PKV-Poslovno komuniciranje in vodenje-sem vaje
PKV;Poslovno komuniciranje in vodenje-vaje;PKV-Poslovno komuniciranje in vodenje-vaje
PNP;Projekt PanUP;PNP-Projekt PanUP
POM;Vodja programskega področja UPK;POM-Vodja programskega področja UPK
PRA;Programiranje v avtomatiki-predavanja;PRA-Programiranje v avtomatiki-predavanja
PRA;Programiranje v avtomatiki-vaje;PRA-Programiranje v avtomatiki-vaje
PRI;Praktično izobraževanje INF-organizacija;PRI-Praktično izobraževanje INF-organizacija
PRI;Praktično izobraževanje MEH-organizacija;PRI-Praktično izobraževanje MEH-organizacija
PRI;Praktično izobraževanje UPK-organizacija;PRI-Praktično izobraževanje UPK-organizacija
PRO1;Programiranje I- vaje ;PRO1-Programiranje I- vaje 
PRO1;Programiranje I-lab vaje;PRO1-Programiranje I-lab vaje
PRO1;Programiranje I-predavanja;PRO1-Programiranje I-predavanja
PRO2;Programiranje II-predavanja;PRO2-Programiranje II-predavanja
PRO2;Programiranje II-vaje;PRO2-Programiranje II-vaje
RAI;Računalništvo in informatika-lab vaje;RAI-Računalništvo in informatika-lab vaje
RAI;Računalništvo in informatika-predavanja;RAI-Računalništvo in informatika-predavanja
RAI;Računalništvo in informatika-vaje;RAI-Računalništvo in informatika-vaje
RKO1;Računalniške komunikacije in omrežja I-predavanja;RKO1-Računalniške komunikacije in omrežja I-predavanja
RKO1;Računalniške komunikacije in omrežja I-vaje;RKO1-Računalniške komunikacije in omrežja I-vaje
RKO2;Računalniške komunikacije in omrežja II-predavanja;RKO2-Računalniške komunikacije in omrežja II-predavanja
RKO2;Računalniške komunikacije in omrežja II-vaje;RKO2-Računalniške komunikacije in omrežja II-vaje
ROB1;Robotski sistemi-predavanja;ROB1-Robotski sistemi-predavanja
ROB1;Robotski sistemi-vaje;ROB1-Robotski sistemi-vaje
RPA;Razvoj programskih aplikacij-predavanja;RPA-Razvoj programskih aplikacij-predavanja
RPA;Razvoj programskih aplikacij-vaje;RPA-Razvoj programskih aplikacij-vaje
RPR;Rastlinska pridelava in reja živali-predavanja;RPR-Rastlinska pridelava in reja živali-predavanja
RPR;Rastlinska pridelava in reja živali-vaje;RPR-Rastlinska pridelava in reja živali-vaje
RPT;Računalniško podprte tehnologije-predavanja;RPT-Računalniško podprte tehnologije-predavanja
RPT;Računalniško podprte tehnologije-vaje;RPT-Računalniško podprte tehnologije-vaje
RPZ;Razvoj podeželja z zakonodajo- lab vaje;RPZ-Razvoj podeželja z zakonodajo- lab vaje
RPZ;Razvoj podeželja z zakonodajo- sem vaje;RPZ-Razvoj podeželja z zakonodajo- sem vaje
RPZ;Razvoj podeželja z zakonodajo-predavanja;RPZ-Razvoj podeželja z zakonodajo-predavanja
RŠZ;Referentka na VSŠ;RŠZ-Referentka na VSŠ
RVP;Računalniško vodeni procesi - predavanja;RVP-Računalniško vodeni procesi - predavanja
RVP;Računalniško vodeni procesi - vaje;RVP-Računalniško vodeni procesi - vaje
SIS;Strokovna informatika in statistične metode vrednotenja-lab vaje;SIS-Strokovna informatika in statistične metode vrednotenja-lab vaje
SIS;Strokovna informatika in statistične metode vrednotenja-predavanja;SIS-Strokovna informatika in statistične metode vrednotenja-predavanja
SIS;Strokovna informatika in statistične metode vrednotenja-sem vaje;SIS-Strokovna informatika in statistične metode vrednotenja-sem vaje
SME1;Sistemi mehatronike I-predavanja;SME1-Sistemi mehatronike I-predavanja
SME1;Sistemi mehatronike I-vaje;SME1-Sistemi mehatronike I-vaje
SME2;Sistemi mehatronike II-lab vaje;SME2-Sistemi mehatronike II-lab vaje
SME2;Sistemi mehatronike II-predavanja;SME2-Sistemi mehatronike II-predavanja
STJ;Strokovna terminologija v tujem jeziku -predavanja;STJ-Strokovna terminologija v tujem jeziku -predavanja
STJ;Strokovna terminologija v tujem jeziku -sem vaje;STJ-Strokovna terminologija v tujem jeziku -sem vaje
TKJ;Treniranje konj in učenje jahanja-predavanja;TKJ-Treniranje konj in učenje jahanja-predavanja
TKJ;Treniranje konj in učenje jahanja-sem vaje;TKJ-Treniranje konj in učenje jahanja-sem vaje
TKJ;Treniranje konj in učenje jahanja-vaje;TKJ-Treniranje konj in učenje jahanja-vaje
TPP;Tehniški predpisi in projektiranje-predavanja;TPP-Tehniški predpisi in projektiranje-predavanja
TPP;Tehniški predpisi in projektiranje-sem vaje;TPP-Tehniški predpisi in projektiranje-sem vaje
TPP;Tehniški predpisi in projektiranje-vaje;TPP-Tehniški predpisi in projektiranje-vaje
TPR;Tehnološki procesi-predavanja;TPR-Tehnološki procesi-predavanja
