Tip obveze;Tedenska obveza;Polna letna obveza;Opis
Administrator 5;;100;39. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva
Čistilka 2;0;100;
Delavec v kmetijstvu in ribištvu V;0;100;
Delovodja v kmetijstvu 6;0;100;
Direktor šolskega centra 7/2;;100;
Finančnik 7/1;0;100;
Finančnik 7/2 (II);0;100;
Hišnik 4;0;100;
Inštruktor 7/1, 7/2;;480;3. in 4.  alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol (20 ur tedensko)
Inštruktor 7/1, 7/2 ZNIŽANO;;432;62. člen KP VIZ ter 3. in 4.  alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol (18 ur tedensko)
Kadrovik 7/1;0;100;
Knjigovodja V;0;100;
Knjižničar 5;;100;
Knjižničar 7/1, 7/2;;100;30. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva
Knjižničar 7/1, 7/2 VSŠ;;600;7. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol (600 študentov)
Kontrolor v kmetijstvu II 7/2;0;100;
Kuhar 4;0;100;
Kuhar 5;0;100;
Kuhinjski pomočnik 3;0;100;
Laborant 5 (SŠ);;1050;5. alineja 5. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva (30 ur na teden)
Laborant 5 (SŠ) ZNIŽANO;;980;62. člen KP VIZ ter 5. alineja 5. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva (28 ur na teden)
Laborant 6 (VSŠ);;600;5. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol
Laborant 6 (VSŠ) ZNIŽANO;;552;62. člen KP VIZ in 5. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol
Natakar 4;0;100;
Organizator izobraževanja odraslih-7/1, 7/2;;100;
Organizator Praktičnega Pouka -7/1, 7/2;;100;
Organizator praktičnega pouka v delovnem procesu-6;;100;
Organizator praktičnega pouka v delovnem procesu-7/1, 7/2;;100;
Organizator praktičnega pouka-6;;100;
Organizator šolske prehrane 7/2;;100;
Perica 2;0;100;
Pomočnik ravnatelja šole-7/2;;100;23.  člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva 
Predavatelj VSŠ 7/2;;384;1. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol
Predavatelj VSŠ 7/2 organizacija PRI;;150;6. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol (150 študentov polna obveza)
Predavatelj VSŠ 7/2 ZNIŽANO;;336;62. člen KP VIZ ter 1. alineja 5. člen PRAVILNIK o normativih za financiranje višjih strokovnih šol (14 ur tedensko)
Računovodja 6;0;100;
Računovodja 7/2 (II);0;100;
Ravnatelj SŠ - organizacijske enote-7/2;;100;
Ravnatelj VSŠ - organizacijske enote-7/2;;100;
razredništvo 1. ali zaklj. letnik;;700;1. ali 2. alineja 1 odst. 10. člen PRAVILNIK o normativih in standardih za izvajanje izobraževalnih programov in vzgojnega programa na področju srednjega šolstva 
